current language;admin NTC-GUI;English;العربية;Français;Deutsch;italiano;español;português;český;Nederlands;繁體中文;简体中文;
qos AF Upload Bandwidth;internet;% of upload bandwidth;نسبة % من عرض النطاق الترددي للتحميل;% de largeur de bande de téléversement;;;;;;;% 的上傳頻寬;% 的上传带宽;
monitor minute;admin internet;(5-65535) mins;دقيقة (5 - 65535);(5-65535) min;(5-65535) mins;(5-65535) mins;(5-65535) mins;(5-65535) mins;(5-65535) mins;(5-65535) mins;(5-65535) 分;(5-65535) 分;
wwan wwDefault;internet;(default *99#);(افتراضي *99 #);(par défaut *99#);;;;;;;(缺省值: *99#);;
man ntp england;NTC-GUI TELUS-GUI admin;(GMT) England;(GMT) إنجلترا;(GMT) Angleterre;;;;;;;(GMT) 英格蘭;(GMT) 英格兰;
man ntp germany;NTC-GUI TELUS-GUI admin;(GMT+01:00) Germany;(GMT+01:00) ألمانيا;(GMT+01:00) Allemagne;;;;;;;(GMT+01:00) 德國;(GMT+01:00) 德国;
man ntp tunisia;NTC-GUI TELUS-GUI admin;(GMT+01:00) Tunisia;(GMT+01:00) تونس;(GMT+01:00) Tunisie;;;;;;;(GMT+01:00) 突尼西亞;(GMT+01:00) 突尼西亚;
man ntp south africa;NTC-GUI TELUS-GUI admin;(GMT+02:00) South Africa;(GMT+02:00) جنوب أفريقيا;(GMT+02:00) Afrique du Sud;;;;;;;(GMT+02:00) 南非;(GMT+02:00) 南非;
man ntp moscow winter;NTC-GUI TELUS-GUI admin;(GMT+03:00) Moscow Winter Time;(GMT+03:00) التوقيت الشتوي لموسكو;(GMT+03:00) Heure d’hiver de Moscou;;;;;;;(GMT+03:00) 莫斯科冬令時間;(GMT+03:00) 莫斯科冬令时间;
man ntp armenia;NTC-GUI TELUS-GUI admin;(GMT+04:00) Armenia;(GMT+04:00) أرمينيا;(GMT+04:00) Arménie;;;;;;;(GMT+04:00) 亞美尼亞;(GMT+04:00) 亚美尼亚;
man ntp australia wa;NTC-GUI TELUS-GUI admin;(GMT+08:00) Australia (WA);(GMT+08:00) أستراليا - WA;(GMT+08:00) Australie (Australie Méridoniale);;;;;;;(GMT+08:00) 西澳洲;(GMT+08:00) 西澳洲;
man ntp singapore;NTC-GUI TELUS-GUI admin;(GMT+08:00) Singapore;(GMT+08:00) سنغافورة;(GMT+08:00) Singapour;;;;;;;(GMT+08:00) 新加坡;(GMT+08:00) 新加坡;
man ntp taipei;NTC-GUI TELUS-GUI admin;(GMT+08:00) Taipei;(GMT+08:00) تايبيه;(GMT+08:00) Taipei;;;;;;;(GMT+08:00) 台北;(GMT+08:00) 台北;
man ntp korean;NTC-GUI TELUS-GUI admin;(GMT+09:00) Korean;(GMT+09:00) كوريا;(GMT+09:00) Corée;;;;;;;(GMT+09:00) 朝鮮時區;(GMT+09:00) 朝鲜时区;
man ntp solomon islands;NTC-GUI TELUS-GUI admin;(GMT+11:00) Solomon Islands;(GMT+11:00) جزر سليمان;(GMT+11:00) Îles Salomon;;;;;;;(GMT+11:00) 索羅門群島;(GMT+11:00) 索罗门群岛;
man ntp fiji;NTC-GUI TELUS-GUI admin;(GMT+12:00) Fiji;(GMT+12:00) فيجي;(GMT+12:00) Fiji;;;;;;;(GMT+12:00) 斐濟;(GMT+12:00) 斐济;
man ntp newzealand;NTC-GUI TELUS-GUI admin;(GMT+12:00) New Zealand;(GMT+12:00) نيوزيلندا;(GMT+12:00) Nouvelle Zélande;;;;;;;(GMT+12:00) 紐西蘭;(GMT+12:00) 新西兰;
man ntp azores islands;NTC-GUI TELUS-GUI admin;(GMT-01:00) Azores Islands;(GMT-01:00) جزر أزوريس;(GMT-01:00) Açores;;;;;;;(GMT-01:00) 亞速爾群島;(GMT-01:00) 亚速尔群岛;
man ntp mid atlantic;NTC-GUI TELUS-GUI admin;(GMT-02:00) Mid-Atlantic;(GMT-02:00) منتصف المحيط الأطلسي;(GMT-02:00) Heure des Bermudes;;;;;;;(GMT-02:00) 中大西洋;(GMT-02:00) 中大西洋;
man ntp guyana;admin NTC-GUI TELUS-GUI;(GMT-03:00) Guyana;(GMT-03:00) غيانا;(GMT-03:00) Guyanne;;;;;;;(GMT-03:00) 蓋亞那;(GMT-03:00) 盖亚纳;
man ntp canadaeastern;NTC-GUI TELUS-GUI admin;(GMT-05:00) Canada Eastern Time;(GMT-05:00)  التوقيت الشرقي- كندا;(GMT-05:00) Heure de l’Est au Canada;;;;;;;;(GMT-05:00) Canada 东部时区;
man ntp eastern;NTC-GUI TELUS-GUI admin;(GMT-05:00) Eastern Time;(GMT-05:00) التوقيت الشرقي;(GMT-05:00) Heure de l’Est;;;;;;;(GMT-05:00) 東部時區;(GMT-05:00) 东部时区;
man ntp central;NTC-GUI TELUS-GUI admin;(GMT-06:00) Central Time;(GMT-06:00) التوقيت المركزي;(GMT-06:00) Heure du Centre;;;;;;;(GMT-06:00) 中央時間;(GMT-06:00) 中央时间;
man ntp mid us;NTC-GUI TELUS-GUI admin;(GMT-06:00) Middle America;(GMT-06:00) أمريكا الوسطى;(GMT-06:00) Heure d’Amérique centrale;;;;;;;(GMT-06:00) 中部美洲;(GMT-06:00) 中美洲;
man ntp arizona;NTC-GUI TELUS-GUI admin;(GMT-07:00) Arizona;(GMT-07:00) أريزونا;(GMT-07:00) Arizona;;;;;;;(GMT-07:00) 亞利桑那;(GMT-07:00) 亚利桑那;
man ntp mountain;NTC-GUI TELUS-GUI admin;(GMT-07:00) Mountain Time;(GMT-07:00) التوقيت الجبلي;(GMT-07:00) Heure des Rocheuses;;;;;;;(GMT-07:00) 落磯山區時間;(GMT-07:00) 落矶山区时间;
man ntp pacific;NTC-GUI TELUS-GUI admin;(GMT-08:00) Pacific Time;(GMT-08:00) التوقيت الباسيفيكي;(GMT-08:00) Heure Pacifique;;;;;;;(GMT-08:00) 太平洋標準時間;(GMT-08:00) 太平洋标准时间;
man ntp alaska;NTC-GUI TELUS-GUI admin;(GMT-09:00) Alaska;(GMT-09:00) ألاسكا;(GMT-09:00) Alaska;;;;;;;(GMT-09:00) 阿拉斯加;(GMT-09:00) 阿拉斯加;
man ntp hawaii;NTC-GUI TELUS-GUI admin;(GMT-10:00) Hawaii;(GMT-10:00) هاواي;(GMT-10:00) Hawai;;;;;;;(GMT-10:00) 夏威夷;(GMT-10:00) 夏威夷;
GUI max32;NTC-GUI TELUS-GUI;(Max 32 characters);(32 حرفا كحد أقصى);(max. de 32 caractères);;;;;;;(最多 32 characters);;
high;NTC-GUI TELUS-GUI admin;(High);(ارتفاع);(haut);;;;;;;;;（高）
medium;NTC-GUI TELUS-GUI admin;(Medium);(متوسط);(moyen);;;;;;;;;（中）
mediumPassword; ;Medium password;;;;;;;;;;;
low;NTC-GUI TELUS-GUI admin;(Low);(منخفض);(faible);;;;;;;;;（低）
GUI min8;NTC-GUI TELUS-GUI;(Minimum of 8 characters);(8 أحرف كحد أدنى);(min. de 8 caractères);;;;;;;(最少 of 8 characters);;
not available;NTC-GUI TELUS-GUI admin;(not available);(غير متاح);(non disponible);;;;;;;;;（利用不可）
adv 80211h disable describe;wireless;(only in A band);(فقط في المجموعة أ);(seulement dans la bande A);;;;;;;（僅在A頻帶）;（仅在A频带）;
optional;internet;(optional);(اختياري);(optionnel);;;;;;;;;（オプション）
poor;NTC-GUI TELUS-GUI admin;(poor);(ضعيف);(faible);;;;;;;;;
strong;NTC-GUI TELUS-GUI admin;(strong);(قوي);(fort);;;;;;;;;
strongPassword; ;Strong password;;;;;;;;;;;
Sim needs pin;main;(This is only required if your SIM card needs a PIN code to be activated.) ;يكون ذلك مطلوبا فقط إذا كانت بطاقة ال SIM الخاصة بك تحتاج إلى كود PIN لتفعيلها.;(Requis si votre carte SIM nécessite un code NIP pour être activée);;;;;;;;;
GUI GUIssidNameIntroduction;NTC-GUI;(This is the name of your personal wireless network and will appear when you search for wireless networks to connect to.);(هذا هو اسم الشبكة اللاسلكية الشخصية الخاصة بك وسيظهر عند البحث عن شبكة لاسلكية للاتصال بها);(Il s'agit du nom de votre réseau sans fil personnel et apparaîtra lorsque vous chercherez à vous connecter à un réseau sans-fil);;;;;;;;;
count;admin internet;(0=disable, 1-65535) times;مرة (0 = تعطيل، 1 - 65535);(0=désactivé, 1-65535) fois;;;;;;;;;（0=無効化,1～65535）回
basic wireless mode 11b;wireless;11b only;11b  فقط;11 b seulement;;;;;;;;;
addprof preamble type;wireless;11B Preamble Type;نوع المقدمة 11B ;Type de préambule 11B ;;;;;;;11B前置訊號型態;11B前导码型态;
